id,item_type,is_cel,is_future_or_scheduled,domain_key,subject,labels
19f2f622bf9c7d9a,sent,1,1,dcogc.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f32c7dbfda2544,sent,1,1,delcog.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c60983a2763,sent,1,1,depauliaonline.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f0ec18a9f51002,sent,1,1,documentedny.com,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f32c833a6be522,sent,1,1,dos.ny.gov,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c5f1644e0a7,sent,1,1,dukechronicle.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c6e76e4b164,sent,1,1,ecs.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f2f60099fa09df,sent,1,1,edsource.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f62e2a22a2f6,sent,1,1,elon.edu,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f602223c6c18,sent,1,1,firstamendmentcoalition.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f60b7e6f08ac,sent,1,1,floridafaf.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f620e3e9fc1b,sent,1,1,foift.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f61511a56594,sent,1,1,foioklahoma.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f5fd948a68af,sent,1,1,georgetownvoice.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f60d3d2f6bb6,sent,1,1,gfaf.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f32c7f436ea4bd,sent,1,1,gmail.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c65600eb36e,sent,1,1,gmail.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f2f62c755df37e,sent,1,1,gmail.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f6278a54e891,sent,1,1,gmail.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f611d0dfc9c4,sent,1,1,gmail.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f616631870b4,sent,1,1,gmail.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f606991491ed,sent,1,1,gmail.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f0ec18f95d7873,sent,1,1,hellgatenyc.com,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f0ec114e05ae97,sent,1,1,houstonlanding.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f2f625bd035415,sent,1,1,hspa.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f0ec09b7e84dc6,sent,1,1,inn.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f32c79e35a20e0,sent,1,1,ithaka.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c6aa698622a,sent,1,1,learningpolicyinstitute.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c66dc4f8cc4,sent,1,1,lehigh.edu,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c6c412b3f7a,sent,1,1,mathematica-mpr.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f2f624252a21e4,sent,1,1,miopengov.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f0ec0a316cd429,sent,1,1,mississippitoday.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f32c89f8287f0a,sent,1,1,naeducation.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c70371c6289,sent,1,1,ncan.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f2f6053a84c1e9,sent,1,1,nefac.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f32c5d04de0315,sent,1,1,nique.net,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f2f62ad7c2a8de,sent,1,1,njfog.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f6137198e820,sent,1,1,nmfog.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f32c80fa7be9d3,sent,1,1,ohionews.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f2f60ea72a6a32,sent,1,1,opengovva.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f61b6a4e5445,sent,1,1,pnpi.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f62900753e6d,sent,1,1,pressenterprise.net,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19edadd0a13bed5a,sent,1,1,propublica.org,Reporting resource for campus accountability coverage,"[""CEL/Outreach/2026-06-18"",""SENT""]"
19f0ec112c179eb9,sent,1,1,publicsource.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f32c764191994c,sent,1,1,rand.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c84c0911c67,sent,1,1,reinventalbany.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f0ec1168fc299d,sent,1,1,sareport.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f0ec193bf32678,sent,1,1,searchlightnm.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f0ec11832ac25e,sent,1,1,signalohio.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f2f61d28010239,sent,1,1,southerneducation.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f0ec18873a065a,sent,1,1,spotlightpa.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f32c882e229441,sent,1,1,sree.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c8b6d43e1ea,sent,1,1,sri.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c7c1c43a311,sent,1,1,studentclearinghouse.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c61d9933c33,sent,1,1,swarthmorephoenix.com,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f2f61022b3cf48,sent,1,1,tcog.info,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f0ec1f38fda60e,sent,1,1,theappeal.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f0ec09e46302a9,sent,1,1,theeduledger.com,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f0ec1ee4a1139b,sent,1,1,themarkup.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f2f6081444cbd5,sent,1,1,todaysstudents.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f2f61ebfce5c0c,sent,1,1,urban.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f0ec1ec0dc9015,sent,1,1,vtdigger.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f2f603a7e6d2fb,sent,1,1,washcog.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f0ec10f3c0e590,sent,1,1,wbez.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f2f619efaa9b28,sent,1,1,wested.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19ed820638a748d4,reply,1,0,adl.org,Re: New Contact Form Submission - Press Inquiry,"[""CEL/Relationship/Keep Warm"",""IMPORTANT"",""CATEGORY_PERSONAL"",""CEL/Relationship/Permission Limited"",""CEL/Relationship/Hard Block - No Cold Outreach"",""INBOX""]"
19eb7bbf71dcb765,reply,1,0,adl.org,Re: New Contact Form Submission - Press Inquiry,"[""CEL/Relationship/Keep Warm"",""IMPORTANT"",""CATEGORY_PERSONAL"",""CEL/Relationship/Permission Limited"",""CEL/Relationship/Hard Block - No Cold Outreach"",""INBOX""]"
19ed71c88d8efb10,reply,1,0,hechingerreport.org,Re: Source-backed campus civil-rights archive for reporting use,"[""YELLOW_STAR"",""IMPORTANT"",""STARRED"",""CEL/Relationship/Org Review Required"",""CATEGORY_PERSONAL"",""CEL/Relationship/Hard Block - No Cold Outreach"",""INBOX"",""CEL/Relationship/Packet Sent""]"
19edb30d0d3b3b4d,reply,0,0,propublica.org,Re: Reporting resource for campus accountability coverage,"[""YELLOW_STAR"",""IMPORTANT"",""STARRED"",""CATEGORY_PERSONAL"",""INBOX""]"
19ee05cd01d0dbee,reply,0,0,psu.edu,Re: Follow up ADI,"[""IMPORTANT"",""CATEGORY_PERSONAL"",""INBOX""]"
19ed83cec826c4c0,sent,1,0,adl.org,Re: New Contact Form Submission - Press Inquiry,"[""CEL/Relationship/Keep Warm"",""CEL/Relationship/Permission Limited"",""SENT"",""CEL/Relationship/Hard Block - No Cold Outreach""]"
19eb7c5d5d01155a,sent,1,0,adl.org,Re: New Contact Form Submission - Press Inquiry,"[""CEL/Relationship/Keep Warm"",""YELLOW_STAR"",""STARRED"",""CEL/Relationship/Permission Limited"",""SENT"",""CEL/Relationship/Hard Block - No Cold Outreach""]"
19ed75efa45ba7f7,sent,1,0,hechingerreport.org,Re: Campus Evidence Lab packet,"[""YELLOW_STAR"",""STARRED"",""CEL/Relationship/Org Review Required"",""SENT"",""CEL/Relationship/Hard Block - No Cold Outreach"",""CEL/Relationship/Packet Sent""]"
19ebcc6b612a2458,sent,1,0,hechingerreport.org,Source-backed campus civil-rights archive for reporting use,"[""SENT""]"
19ebcc6b635ec964,sent,1,0,hechingerreport.org,Source-backed campus civil-rights archive for reporting use,"[""SENT""]"
19ebcc6b7d124106,sent,1,0,hechingerreport.org,Source-backed campus civil-rights archive for reporting use,"[""SENT""]"
19ebc8fc8f8fb6e8,sent,1,0,hechingerreport.org,Seeking critical review of public-source campus civil-rights archive,"[""SENT""]"
19ee0635f0559163,sent,0,0,psu.edu,Re: Follow up ADI,"[""SENT""]"
